Id,Neighborhood,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,TotalBsmtSF,GrLivArea,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageCars,GarageArea,LotFrontage,LotArea,MasVnrArea,CentralAir,Heating,Electrical,Foundation,Exterior1st,Exterior2nd,RoofStyle,SaleCondition,MoSold,YrSold,SalePrice
13,Coquitlam,BasementSuite,7.0,5.0,1951,1942,788.9104616202101,1937.9106025890942,0.0,2.0,3.0,0.0,2.0,1.0,1.0,861.3471319173474,80.09347403910182,15646.52871820223,195.16793462048105,Y,HeatPump,Mix,Stone,Wood,Wood,TorchOn,Normal,8.0,2021.0,180272.35402548703
14,Burnaby,Duplex,7.0,7.0,1989,2006,993.9053955683048,2583.0001233086123,2.0,0.0,2.0,1.0,6.0,1.0,3.0,434.9184748811716,,14509.682211194595,271.42435961142354,Y,Gas,FuseA,PConc,Wood,Wood,Cedar,Abnorml,8.0,2024.0,218002.0694039728
15,Downtown,BasementSuite,7.0,6.0,1981,2007,969.8457745837106,1615.788800518907,1.0,1.0,3.0,1.0,5.0,0.0,2.0,270.6889397921451,,7251.339550080654,179.54820294529654,Y,Electric,Mix,CBlock,Wood,Wood,TorchOn,Partial,4.0,2021.0,200458.7334324221
16,Burnaby,BasementSuite,7.0,9.0,2026,1989,939.9460426950948,1262.4363059170432,2.0,2.0,4.0,1.0,5.0,1.0,1.0,337.7906759928503,100.33726037156178,10506.460637961623,247.05870593277933,Y,HeatPump,Mix,PConc,Brick,Brick,Cedar,Normal,6.0,2023.0,132667.502211268
17,NorthVan,Condo,4.0,5.0,1951,1964,1787.6449499755604,1341.628435081599,2.0,0.0,4.0,1.0,8.0,1.0,3.0,382.5567324048044,,2000.0,207.96562998406574,Y,Radiant,FuseP,Stone,Brick,Brick,Asphalt,AdjLand,12.0,2019.0,196839.90837279422
18,Coquitlam,Duplex,6.0,5.0,2008,2024,1668.640628449174,1148.2900384020281,1.0,0.0,1.0,2.0,5.0,1.0,2.0,664.0239643391989,80.27122894712798,9322.553259017126,9.832265630725345,Y,Radiant,SBrkr,Stone,Stucco,Stucco,Metal,Normal,9.0,2019.0,166405.06995236684
19,Delta,Duplex,7.0,4.0,1942,2003,1545.64983353961,1384.794805021781,1.0,1.0,4.0,1.0,5.0,2.0,3.0,730.9621394192703,54.70196383000847,12547.326430576857,191.10229139189914,Y,HeatPump,FuseF,CBlock,Brick,Brick,TorchOn,Partial,9.0,2019.0,135668.9613196292
20,Langley,Duplex,7.0,5.0,1962,2005,1678.2706386240402,2980.0874105177545,2.0,2.0,1.0,1.0,10.0,1.0,3.0,445.69502556795237,38.4501923236011,8278.242349077633,284.0834365865909,N,HeatPump,FuseA,CBlock,Wood,Wood,TorchOn,Partial,7.0,2020.0,215412.04214068747
21,Richmond,Duplex,5.0,7.0,1950,2013,1546.7559272472536,1975.2490715808394,3.0,1.0,3.0,1.0,3.0,2.0,1.0,819.021656487371,67.93569900783518,10821.259471474565,50.66963386340749,Y,Radiant,FuseA,PConc,Vinyl,Vinyl,Asphalt,Partial,1.0,2019.0,226373.41266059846
22,Coquitlam,Duplex,5.0,5.0,1955,2020,1042.1679330614395,1796.366966491318,3.0,1.0,4.0,1.0,7.0,1.0,3.0,817.5704081438347,46.807386921309686,9262.233573262587,57.366741376708845,Y,Radiant,FuseP,BrkTil,Stucco,Stucco,Asphalt,Normal,7.0,2024.0,200024.78402185495
23,NorthVan,Detached,5.0,4.0,1965,1998,1006.2816382362842,1679.732040631092,2.0,2.0,3.0,1.0,7.0,2.0,2.0,450.54585813426775,75.45838601995304,10671.689519458245,0.0,Y,Radiant,FuseF,BrkTil,Stucco,Stucco,TorchOn,AdjLand,3.0,2019.0,123198.9701449865
24,Surrey,BasementSuite,7.0,4.0,2013,1961,1132.3900876822029,1555.182654667353,3.0,1.0,3.0,1.0,6.0,2.0,2.0,416.61424216536153,73.34317936587063,10682.654864362887,,Y,Electric,FuseA,Slab,Wood,Wood,Asphalt,Abnorml,5.0,2018.0,251961.78116347364
25,Surrey,Duplex,8.0,5.0,1983,1972,976.2602784496054,1563.699377555906,2.0,1.0,3.0,1.0,7.0,2.0,1.0,453.1817614384153,85.85111865985253,3994.168693133248,0.0,Y,Electric,FuseF,Slab,Brick,Brick,Asphalt,Normal,9.0,2020.0,169490.7132590834
26,Langley,Condo,5.0,4.0,2007,1977,685.9841164986419,2316.1914770830463,1.0,1.0,3.0,1.0,5.0,0.0,2.0,44.82779710112129,107.13945209975262,9678.531459198535,202.99511318213536,Y,HeatPump,FuseF,BrkTil,Stucco,Stucco,Cedar,Partial,11.0,2018.0,158158.90456241794
27,NorthVan,Detached,7.0,4.0,1970,2020,1153.811839441455,1571.6778630188153,3.0,1.0,2.0,1.0,5.0,2.0,2.0,394.62291801431314,92.35843021336791,15753.916250561615,49.34473583443718,N,Radiant,FuseP,Slab,Wood,Wood,TorchOn,AdjLand,1.0,2019.0,245228.35172236868
28,Burnaby,BasementSuite,6.0,4.0,2008,1995,501.8576207563342,1389.907912396241,1.0,1.0,4.0,1.0,4.0,2.0,2.0,523.0064429228811,,5161.854185046886,55.00878351879214,Y,Gas,SBrkr,CBlock,Stucco,Stucco,Asphalt,Normal,9.0,2022.0,109285.87010312092
29,Coquitlam,Detached,6.0,4.0,1976,1972,,977.8237511190873,4.0,1.0,4.0,1.0,4.0,,1.0,542.1665183967694,77.20035013476337,11484.917943356197,101.33247307842227,Y,Gas,Mix,Stone,Wood,Wood,TorchOn,Normal,3.0,2021.0,248684.94459462434
30,Langley,BasementSuite,6.0,7.0,1946,1985,701.8294902233495,1569.1661976643618,3.0,1.0,5.0,1.0,7.0,1.0,3.0,728.9624144424453,42.96707921918686,12254.478896026636,61.56765993934088,Y,Gas,FuseP,Slab,Brick,Brick,Metal,Partial,1.0,2019.0,145184.6787870032
31,Downtown,Duplex,7.0,5.0,2001,2023,1021.6363953702548,1198.6144786310265,2.0,1.0,3.0,1.0,3.0,2.0,4.0,757.4053623709626,20.0,2988.36701634348,133.18119474754394,Y,HeatPump,FuseP,PConc,Vinyl,Vinyl,Cedar,Partial,3.0,2021.0,146957.99534154817
32,Delta,Condo,6.0,9.0,2014,2005,1116.9212048886973,1413.7525588390324,1.0,1.0,4.0,1.0,3.0,0.0,0.0,645.0159644594097,82.92561708941537,12421.185129314323,84.88420822181294,Y,Electric,FuseF,CBlock,Wood,Wood,Metal,Partial,7.0,2023.0,157384.63350570682
33,Downtown,Townhouse,9.0,4.0,1989,2016,926.5012850090134,1020.2886471965172,2.0,1.0,3.0,1.0,2.0,1.0,2.0,376.76896748255,80.80325074858351,11205.470552195044,133.15730973834079,Y,HeatPump,Mix,Stone,Wood,Wood,Cedar,AdjLand,6.0,2021.0,117337.24345219026
34,Coquitlam,Duplex,5.0,6.0,1994,1962,475.82119799527084,1532.0109340659073,2.0,1.0,3.0,1.0,5.0,1.0,1.0,562.6574100972184,75.90060336688434,8758.207714377808,206.4381738716927,Y,Gas,FuseP,BrkTil,Brick,Brick,Cedar,AdjLand,5.0,2020.0,206213.55351838458
35,Burnaby,Townhouse,7.0,5.0,2008,1984,634.1934082926691,1170.8952816766428,3.0,1.0,3.0,1.0,8.0,2.0,2.0,196.31511941941392,67.00615984525022,10098.323039148907,265.43141437163035,Y,Radiant,SBrkr,BrkTil,Wood,Wood,Metal,Abnorml,7.0,2019.0,144487.49332689596
36,Burnaby,BasementSuite,5.0,6.0,1961,1973,1210.3852675880175,864.8730967864728,1.0,1.0,3.0,1.0,5.0,1.0,1.0,555.4263782753081,55.97623643240476,10560.23909214605,0.0,Y,Gas,FuseA,Stone,Wood,Wood,TorchOn,Abnorml,3.0,2021.0,165824.60080426082
37,NewWest,BasementSuite,5.0,4.0,1948,2027,854.8952321535895,2131.2092926759933,3.0,2.0,3.0,2.0,6.0,2.0,3.0,661.2215689073072,,9185.510316373324,193.06119264339753,Y,Gas,FuseA,PConc,Vinyl,Vinyl,Metal,Partial,6.0,2019.0,158481.9822303025
38,Richmond,BasementSuite,6.0,4.0,1980,1986,1246.2974134745389,773.9707062577828,3.0,1.0,1.0,0.0,6.0,0.0,1.0,307.0925656680623,20.0,5685.600364905311,52.34539516870039,Y,Radiant,FuseA,Slab,Wood,Wood,Cedar,Normal,6.0,2019.0,199896.3839340979
39,Coquitlam,Duplex,,6.0,2021,1975,1053.395452071049,1108.4181195479728,1.0,1.0,3.0,1.0,10.0,0.0,2.0,310.1974789706777,52.980939712084606,16481.76075060851,77.6170132545538,Y,HeatPump,FuseA,PConc,Stucco,Stucco,Asphalt,AdjLand,,2017.0,51636.54427489254
40,Downtown,Duplex,10.0,4.0,1979,1939,980.7588381113329,1689.164732117267,3.0,1.0,2.0,1.0,5.0,1.0,3.0,463.268620537446,66.5091181133992,9644.08532799887,198.9191174216879,N,Gas,FuseP,Stone,Vinyl,Vinyl,Asphalt,Normal,8.0,2022.0,92263.09420686643
41,Delta,BasementSuite,6.0,2.0,1988,2025,1171.6752558425346,2000.0032100811745,3.0,1.0,5.0,1.0,9.0,1.0,2.0,498.56354996318225,74.23769352089226,9408.386258314924,51.552166083309814,Y,Radiant,SBrkr,PConc,Wood,Wood,TorchOn,Normal,5.0,2019.0,138456.90273707872
42,NewWest,Condo,4.0,7.0,1972,2026,813.7860248368168,1485.431753517809,3.0,0.0,2.0,0.0,7.0,1.0,3.0,361.4635828885104,74.59623163683878,4646.045434928938,51.901031866089156,Y,Electric,SBrkr,Stone,Vinyl,Vinyl,Cedar,Partial,8.0,2022.0,187225.44932029277
43,Richmond,Condo,6.0,6.0,1978,1938,1190.1382213255797,1438.5227749225232,3.0,,2.0,2.0,7.0,3.0,3.0,224.1963036879451,30.03496600712431,13241.862800186238,296.4236671562878,Y,Electric,FuseF,Stone,Brick,Brick,Metal,Abnorml,9.0,2021.0,153485.97488827142
44,Delta,Condo,3.0,4.0,1954,1995,903.1725211318744,843.8014715276846,4.0,1.0,2.0,1.0,6.0,0.0,2.0,227.42846092204377,91.22588663024595,10955.577778130852,148.7769241018643,N,HeatPump,SBrkr,PConc,Wood,Wood,Cedar,Abnorml,5.0,2020.0,183995.7644034625
45,Langley,Duplex,6.0,5.0,1986,2013,1937.6999456638023,1155.1639059183035,2.0,1.0,3.0,0.0,10.0,1.0,2.0,345.08177680523073,121.37352083152169,13455.410605836454,163.04903684257323,Y,HeatPump,SBrkr,Slab,Stucco,Stucco,Metal,Normal,11.0,2022.0,140093.51897350594
46,NewWest,Duplex,6.0,7.0,1996,2001,653.1225340023706,653.617367203101,2.0,1.0,4.0,0.0,10.0,2.0,3.0,428.9954620470387,59.78852683663028,8016.031730751185,69.3739898125408,Y,Radiant,FuseA,PConc,Brick,Brick,Cedar,Normal,11.0,2024.0,218287.6835255409
47,NorthVan,Detached,7.0,7.0,1924,1979,924.9629794775849,1413.6045370733505,4.0,1.0,2.0,1.0,6.0,2.0,1.0,523.1442070666697,51.38201136028832,3929.136367575089,129.51740753707364,Y,Gas,FuseA,PConc,Wood,Wood,TorchOn,Normal,4.0,2019.0,164689.96343294904
48,NorthVan,Duplex,7.0,5.0,1924,1966,939.0825510666059,1740.0985516316628,0.0,1.0,4.0,0.0,6.0,0.0,0.0,585.7048040209638,97.95209040223571,8401.629187093313,144.6904491601769,Y,HeatPump,SBrkr,Stone,Wood,Wood,Cedar,Partial,6.0,2020.0,188825.60422291732
49,Downtown,BasementSuite,5.0,4.0,1917,2019,576.8470536286956,1693.8384569804666,2.0,1.0,2.0,1.0,3.0,1.0,2.0,529.9813403555929,85.82907857206663,12911.393646715935,85.15618565372169,Y,Gas,SBrkr,Stone,Stucco,Stucco,Metal,AdjLand,9.0,2018.0,145463.15065562667
50,Downtown,Detached,6.0,7.0,2014,2009,1304.0344061844842,615.1515991380558,1.0,1.0,4.0,2.0,6.0,1.0,1.0,679.91268660789,64.27727437957866,8066.876815755827,139.3907252990129,Y,Electric,FuseA,Stone,Brick,Brick,Cedar,Abnorml,8.0,2020.0,163743.86192399505
51,Delta,BasementSuite,5.0,5.0,1942,2005,899.946571621796,1809.3998277161356,2.0,1.0,4.0,1.0,10.0,1.0,1.0,317.52529360949956,87.3035329983098,10849.729850664704,22.392881027354733,Y,HeatPump,FuseF,PConc,Wood,Wood,Cedar,Partial,8.0,2022.0,178348.29415883124
52,Burnaby,BasementSuite,4.0,5.0,1980,2019,217.077622413703,2144.3980959012692,2.0,1.0,2.0,1.0,8.0,2.0,1.0,401.00308891991244,40.17954463070297,8225.248070891214,64.24780057673169,N,Electric,FuseA,Slab,Vinyl,Vinyl,Cedar,AdjLand,8.0,2020.0,117751.3961434605
53,Delta,Detached,6.0,5.0,2023,2044,1293.2950000408666,1311.5852843649368,3.0,1.0,3.0,2.0,7.0,3.0,3.0,592.4107479696862,75.24717304290692,7922.831186130504,247.24333622342047,Y,Radiant,SBrkr,Stone,Wood,Wood,Asphalt,AdjLand,8.0,2021.0,156016.39779775898
54,Richmond,Townhouse,4.0,7.0,1979,1981,827.3409265265004,2287.9811668126704,2.0,1.0,4.0,0.0,3.0,1.0,3.0,851.4940511016754,84.66018582671686,11078.62020109179,203.19721438531474,Y,Electric,FuseF,Stone,Stucco,Stucco,TorchOn,Partial,5.0,2019.0,162208.56190817532
55,Burnaby,Duplex,5.0,5.0,1985,1981,1013.2845019780817,1273.8107663596763,2.0,1.0,2.0,1.0,5.0,1.0,2.0,590.6516236970458,43.55444241872231,8957.703967695921,3.465380086487798,Y,HeatPump,SBrkr,Slab,Brick,Brick,TorchOn,AdjLand,8.0,2021.0,165398.7935242421
56,Surrey,Condo,5.0,6.0,1944,1979,1286.8879029495504,725.7504801447657,3.0,1.0,4.0,1.0,4.0,0.0,4.0,768.5203413786912,44.137073016017034,8316.23750561563,95.73858210125132,Y,Electric,SBrkr,CBlock,Stucco,Stucco,Asphalt,Normal,8.0,2019.0,150491.240634483
57,Burnaby,Detached,7.0,5.0,1979,1966,922.35269524226,1425.1509424119295,1.0,2.0,2.0,1.0,5.0,1.0,1.0,374.1436587771978,,7077.359034881536,115.9574114937061,Y,HeatPump,FuseF,CBlock,Brick,Brick,Asphalt,Normal,5.0,2020.0,173049.44462558362
58,Burnaby,BasementSuite,9.0,6.0,1940,2019,919.4861762076946,1349.5191688857353,2.0,1.0,4.0,1.0,5.0,0.0,1.0,660.3871760643937,97.31112931049775,6446.965132258327,225.04252855319731,Y,Electric,FuseF,Stone,Brick,Brick,Cedar,Abnorml,2.0,2022.0,152181.06848264427
59,Delta,Duplex,4.0,4.0,1912,2023,1912.6456945127575,2028.2697701146808,1.0,0.0,3.0,1.0,7.0,2.0,1.0,583.9521479600902,88.05193670388357,11812.894572835272,20.257010798657944,N,Electric,FuseF,PConc,Vinyl,Vinyl,Asphalt,Normal,6.0,2022.0,99651.55131999264
60,Coquitlam,Condo,3.0,7.0,1971,2016,296.1889881527769,1001.3971319808429,2.0,2.0,4.0,1.0,8.0,2.0,2.0,260.4419732024272,,12008.594796649551,277.6864391972962,Y,Gas,SBrkr,Slab,Brick,Brick,TorchOn,Partial,3.0,2019.0,157975.61982327577
61,Richmond,Condo,6.0,4.0,1979,2031,599.9120796796942,1697.8839579491687,0.0,1.0,3.0,1.0,7.0,0.0,3.0,786.3599366635501,92.53072598955335,8948.245241532743,210.10073996534368,Y,Gas,SBrkr,PConc,Wood,Wood,Metal,Partial,4.0,2017.0,141787.60826017367
62,Richmond,BasementSuite,6.0,6.0,1954,1992,667.7786727760944,639.3159472155086,3.0,1.0,4.0,1.0,7.0,1.0,0.0,649.4259625621785,44.062568906366515,5884.601834148096,0.0,Y,Electric,FuseF,Slab,Brick,Brick,Cedar,Partial,6.0,2020.0,171150.168523637
63,Delta,Duplex,6.0,3.0,1947,1999,1676.1579593181534,1226.549778936933,3.0,1.0,3.0,2.0,9.0,0.0,3.0,789.7592025162605,86.23794993592625,9446.946176269708,0.0,Y,HeatPump,FuseA,BrkTil,Brick,Brick,TorchOn,AdjLand,4.0,2024.0,196599.61670550107
64,Langley,Condo,5.0,5.0,1963,2006,824.3853428852829,1310.06834633763,1.0,2.0,3.0,2.0,5.0,1.0,2.0,313.92053974230174,81.47457921954387,12807.53616310275,64.89308281251292,Y,Radiant,SBrkr,CBlock,Brick,Brick,TorchOn,Normal,7.0,2021.0,138412.25726055296
65,Delta,Detached,6.0,5.0,1948,1979,1134.0731061959846,1247.441915079657,3.0,1.0,5.0,0.0,4.0,2.0,2.0,384.6065376762801,55.5770832525454,3287.7854594568116,28.015512724212286,Y,HeatPump,Mix,Slab,Wood,Wood,Asphalt,Abnorml,1.0,2022.0,157725.8637722425
66,Langley,Condo,7.0,,1992,1963,884.0726289771867,717.5340112459703,2.0,2.0,3.0,1.0,8.0,0.0,1.0,763.2660754439225,102.35516537838603,5531.36400971541,69.95789978672714,N,HeatPump,FuseP,BrkTil,Wood,Wood,Cedar,Partial,11.0,2019.0,155819.1181673092
67,NorthVan,Duplex,8.0,5.0,1983,1993,1261.1201198158105,1227.570352358326,1.0,1.0,,1.0,7.0,1.0,2.0,559.0314032475579,87.59720208184451,9074.197358272986,0.0,N,HeatPump,SBrkr,Stone,Stucco,Stucco,Metal,Abnorml,1.0,2023.0,140725.38492541085
68,Coquitlam,Condo,3.0,5.0,2018,1978,1045.5502583009772,1514.976596377336,2.0,1.0,3.0,0.0,6.0,,3.0,690.8247585419507,,8237.918176989459,121.52517488829781,Y,HeatPump,Mix,PConc,Wood,Wood,Cedar,Abnorml,2.0,2019.0,237022.3020569766
69,NorthVan,Detached,5.0,6.0,1959,2044,1138.5847186698502,2031.6840364975883,0.0,1.0,3.0,1.0,4.0,1.0,4.0,518.7977425317646,43.89786454144256,11600.419657941824,111.98594164117344,Y,Electric,SBrkr,Slab,Stucco,Stucco,Metal,AdjLand,5.0,2022.0,204979.645011836
70,Surrey,Townhouse,6.0,5.0,1972,1952,,1117.2116141790723,2.0,2.0,3.0,1.0,8.0,0.0,2.0,860.3087636700478,20.0,8654.26124735015,60.635688636640026,Y,Gas,FuseP,Stone,Brick,Brick,Metal,Normal,1.0,2021.0,179518.40212576115
71,Langley,BasementSuite,5.0,7.0,1975,1988,1204.0943763971377,990.2309936521744,2.0,1.0,3.0,1.0,7.0,1.0,3.0,593.4442990821265,48.585605794746755,11957.697860357554,52.69867441134128,Y,Radiant,FuseP,PConc,Vinyl,Vinyl,TorchOn,AdjLand,2.0,2020.0,55740.186644201895
72,Delta,Condo,9.0,7.0,1958,1997,792.7264178903083,2631.9728036247143,4.0,1.0,3.0,1.0,9.0,0.0,3.0,488.28025176575863,60.58481955172523,11462.433142050182,218.90060227312404,Y,HeatPump,FuseA,BrkTil,Wood,Wood,TorchOn,Normal,11.0,2021.0,183866.45657245416
73,NewWest,Duplex,5.0,5.0,1910,1969,1159.2234671810013,435.856608355926,1.0,1.0,4.0,1.0,5.0,1.0,0.0,309.31231084821,,10329.16548072746,0.0,Y,HeatPump,SBrkr,Slab,Stucco,Stucco,TorchOn,Partial,6.0,2019.0,258084.52514566478
74,Langley,BasementSuite,6.0,3.0,1983,1978,1896.5284619217603,,1.0,1.0,3.0,1.0,8.0,1.0,2.0,450.115831128459,88.85783474974397,7183.556803739219,126.90666599094058,N,Gas,FuseF,Slab,Vinyl,Vinyl,Asphalt,AdjLand,2.0,2023.0,81137.69618046646
75,Coquitlam,Detached,7.0,4.0,2040,1991,1247.7396641513153,971.3825097762884,2.0,1.0,4.0,1.0,6.0,1.0,1.0,569.4828819834117,48.12685787210351,10447.623895269699,0.0,Y,Radiant,FuseA,PConc,Brick,Brick,Cedar,AdjLand,4.0,2022.0,230293.82700074522
76,NewWest,Duplex,5.0,2.0,1999,1961,1103.1683792426506,659.6723927396513,2.0,2.0,4.0,1.0,4.0,2.0,3.0,479.78370091889775,44.394080519284785,10937.882108504826,0.0,Y,Gas,FuseP,PConc,Vinyl,Vinyl,Metal,AdjLand,7.0,2020.0,243623.53128536616
77,NorthVan,BasementSuite,3.0,5.0,2028,2000,570.3064665337547,1453.947921348999,3.0,0.0,3.0,1.0,4.0,2.0,2.0,533.9410816454019,,11401.074035401374,131.06699372792002,Y,Electric,SBrkr,CBlock,Wood,Wood,Cedar,Abnorml,1.0,2022.0,115023.3133498978
78,Langley,Duplex,5.0,7.0,1996,2029,1303.5464857327343,2045.50767814543,4.0,0.0,1.0,1.0,6.0,1.0,2.0,801.0854901950142,,11251.168996081738,218.97957327009058,Y,Electric,FuseP,PConc,Wood,Wood,Metal,AdjLand,1.0,2022.0,238566.35967559938
79,Langley,BasementSuite,8.0,6.0,1965,1980,1355.2794080636017,2020.5660480599854,3.0,1.0,3.0,1.0,5.0,1.0,4.0,735.9630303112247,47.734371746035755,14904.846506664086,109.44480664004797,Y,HeatPump,FuseP,Stone,Vinyl,Vinyl,TorchOn,Normal,8.0,2021.0,147728.78924572546
80,Langley,Condo,5.0,5.0,1988,2009,1159.4531013755552,1786.2346118546604,2.0,1.0,3.0,1.0,5.0,0.0,3.0,376.62280688457065,73.22989421919195,11059.891213756611,60.951509032621665,Y,Radiant,FuseF,Stone,Stucco,Stucco,Metal,AdjLand,5.0,2022.0,176349.93269737242
81,Delta,Detached,5.0,4.0,2002,2032,1089.9329416828293,2095.1027708906204,3.0,2.0,2.0,0.0,8.0,2.0,2.0,441.43631848597545,92.10009046445916,12693.95207379667,203.9099850173654,Y,Electric,FuseA,BrkTil,Brick,Brick,Metal,Partial,6.0,2022.0,182078.18793614887
82,Richmond,Duplex,7.0,5.0,1921,2015,2041.3888884108771,1380.6278650668362,2.0,1.0,2.0,2.0,8.0,1.0,,207.95833094505906,30.072255806016614,9158.287402846616,86.43362242073069,Y,Electric,FuseP,Slab,Stucco,Stucco,Metal,Normal,5.0,2022.0,188983.44423419255
83,NorthVan,Townhouse,6.0,8.0,1983,1971,1349.3997121935422,1501.0242120786213,3.0,1.0,3.0,1.0,5.0,2.0,0.0,417.26845192926294,76.31170345566039,5720.208710334805,156.46930073194744,N,HeatPump,FuseA,Slab,Brick,Brick,TorchOn,Normal,7.0,2024.0,238801.21057268122
84,NewWest,BasementSuite,5.0,7.0,1967,1951,1484.0098916450372,1621.265548803906,2.0,1.0,3.0,0.0,10.0,1.0,2.0,702.0214039141075,43.122109163563806,8720.55961749071,156.33740092827244,Y,HeatPump,FuseP,Slab,Brick,Brick,Asphalt,Normal,5.0,2021.0,159055.95467330492
85,Burnaby,Detached,6.0,5.0,2014,1982,1073.4087540476376,2134.6454850442487,2.0,1.0,3.0,1.0,8.0,1.0,3.0,417.5902829117084,70.17462461085309,8996.983533100318,169.3082512149696,Y,Gas,FuseF,Stone,Wood,Wood,Metal,AdjLand,6.0,2023.0,215246.61325141604
86,Downtown,Townhouse,7.0,3.0,1981,1991,1003.9419536866806,1298.161365738578,3.0,0.0,3.0,1.0,2.0,1.0,3.0,846.761355301839,,5646.0723681175405,317.3601406756404,Y,HeatPump,FuseF,PConc,Stucco,Stucco,TorchOn,Normal,5.0,2022.0,144933.55073342624
87,Richmond,Duplex,10.0,8.0,1896,1938,1271.2346771957493,2099.069602597996,3.0,1.0,3.0,2.0,7.0,1.0,1.0,477.99479836128154,29.626891116097077,9141.992904632702,33.85336725360074,Y,Gas,FuseA,PConc,Vinyl,Vinyl,Metal,Abnorml,8.0,2021.0,245288.13635950323
